"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","17239.465942393","17953.7734173594","18995.0608069763","20016.9190328554","20395.0808350724","20447.5459761039","21410.2197769979","22390.5850396693","22497.2785633841","23677.6955239661","23856.6284927629","23609.9409022114","24043.0784487141","24947.9902455462","24991.7327724997","25525.7536252831","26202.0007942841","26674.5518991448","27769.9020987521","28726.3845727353","29647.3768936593","30300.3092513362","30583.0892180597","30258.4406925211","30857.7310303941","31442.6654871592","32096.2188954012","32557.7988447646","33598.5908829877","34210.8571516674","35304.3182344779","35368.9815059847","36016.4045530232","36174.3785949062","36967.8284370029","37421.94863052","38849.9401035252","39966.1156765195","40531.4331457998","38363.9011392336","38977.2071273785","39508.1230381709","39150.9685287495","38779.3376093772","38888.9506534117","38600.7697577954","39435.7435944963","39821.3865431454","","",
"Azerbaijan","AZE","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720.676579224622","804.296110410512","826.714669614212","970.505893083869","1269.85174849428","1484.83984574793","1653.47403722611","2055.48085521031","2852.3242170939","3449.89968312415","4184.61530326869","4115.04638874259","3868.82851990262","4470.49556532626","4479.23055928038","","","","","","","",
"Burundi","BDI","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.284257214531","126.444811485875","149.561417247781","148.796974222973","134.412240251628","125.395554268241","85.9536726907225","106.975134560962","121.026515792763","135.731967108843","118.208966114555","120.369712996884","127.715028106069","149.049398763064","143.884832631587","165.894056172626","171.213806576548","173.239113549165","190.376467064537","173.74248735612","173.003196537077","","",
"Belgium","BEL","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","18182.2531102204","18755.9300636173","19882.4371565957","21192.0908322057","21477.8290744525","21158.8332512069","22335.3412839177","22320.8532902715","23053.0204991472","23294.9950355667","23276.3776851443","22494.7667641762","22551.6146337213","22738.9900747916","23462.8044023933","24133.0517253322","25309.8443173757","26092.7051350637","27569.9015688167","28367.5255150064","29158.889433081","29641.3884038261","30166.455939164","30397.1759344355","31406.9543312897","31868.8206434843","32059.1598333154","33110.7998691668","33696.5212043381","34379.963403381","35203.737341563","34984.6722075882","35534.1693098248","35483.9190865741","36248.5705583917","36430.9342673791","36759.9984371964","37796.3494580926","37176.4296774315","35609.9162788956","37246.5542732993","35990.726185702","36396.2636540795","36015.3650278533","35889.5846955359","36016.9901049139","36979.5143622587","37822.3952770734","","",
"Benin","BEN","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","596.445577003088","625.694688686282","649.857988238383","647.93026004345","596.134249233925","572.749814976916","585.701151398395","575.637936467802","619.724064450495","669.924266743549","684.976111427732","697.113410810381","595.00740090428","588.172514487954","593.498806490433","597.391334956677","557.766580871717","568.190193482945","516.661772845103","565.753907469038","578.986273010144","550.466544302291","565.667505124868","525.957067787751","560.640134008094","560.24036895721","576.423381377572","573.011211214516","541.013303126351","568.612815435897","580.245280798354","601.913443383403","611.659211051811","628.783606575417","614.612648220943","614.594025436964","628.542390266359","647.679167869267","646.723648145974","637.332425990881","641.059711629754","656.241111932017","695.480874763584","720.215703398412","709.036665931702","691.182477320206","694.332581090623","","",
"Burkina Faso","BFA","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","314.640839475862","317.775303623938","334.995299012557","325.566696897681","312.965208905917","317.41885871471","334.455875940937","323.119297060499","332.756942573548","325.196257632778","316.141907201432","331.061504736502","316.734897277311","318.354068952963","286.464985118573","293.365693154926","317.875381713431","327.164474213602","346.865715085572","373.647092324196","372.221130931751","386.567904176106","395.769894196425","414.292039421444","415.489233939856","430.05917567397","437.178027170309","439.278218170886","450.603249288669","446.577019465663","454.632897124803","464.902442209063","501.35016169937","511.20745092893","511.870778636105","495.988068165486","506.599836697792","513.800029230712","","",
"Bangladesh","BGD","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","402.679317423628","393.392914987718","367.266315338411","362.261950018639","345.125378270754","366.154571760072","378.005247284154","375.657404553532","410.560590758364","391.229843286516","390.5492692609","389.736489311508","414.882986636012","420.036074240349","424.225606173515","424.055475390806","424.251112056673","442.936386057479","426.630935902789","430.988092050663","434.917675889328","448.079423160974","455.539377055189","459.779019114804","460.099065672262","470.474390435535","482.153310709522","499.918266078522","514.682911218219","524.834422156685","537.182385290837","569.947268777671","598.825638337889","637.131319147668","675.567547264614","703.251408850698","734.135331598958","771.853781928299","802.569069448971","844.381225710761","879.422063479508","905.003935481167","953.99519579307","1004.27398945906","1053.24325751998","","",
"Bulgaria","BGR","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","2581.22883274466","2866.17585019146","2998.00485979244","3111.67404619639","3270.7696327012","3262.79018712834","3275.12154702102","3486.31433358718","3639.13144785964","3473.78489317335","3435.37336281519","2848.09455309356","2841.38768364366","2693.14071953683","2841.68319037573","2580.45292870771","3071.15442400251","2955.19886530404","3094.76596402568","2785.9125268013","3037.60372884685","3332.6563754403","3687.87656424678","3891.0497788328","4207.02059111063","4452.1614853429","4701.09538513844","4921.15555774969","5537.67639347117","5568.23390833618","5580.3422267071","5826.65064950465","5946.3949304999","5963.38512478739","6178.40978318423","6424.00099635165","6995.44941756491","7425.480446654","","",
"Bahrain","BHR","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15482.0900411394","14771.4656814202","13152.7977588306","14060.0766429305","14098.8308283693","15477.1329450015","16284.4809972579","17438.4949843284","18446.0538503998","15127.844539066","16640.9029902762","16900.0586632998","16050.1034537603","17371.8503268257","16207.3618142779","17511.2531084503","17049.517647151","17670.8229785402","","",
"Bahamas, The","BHS","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24758.2659182464","23924.493809333","21929.1669184503","21621.788316243","20708.0182746955","20736.901282096","25069.2758332067","27972.9707438256","27606.3765729179","29548.5841411153","32092.4278178097","33259.9287297331","31756.2000321176","34608.4758937284","33259.7687939423","31599.2207653856","32629.4206909823","31138.6575898175","31867.5534012585","30331.3213750211","26968.7650094644","25824.3779829236","25183.3017467382","26834.4039003635","25953.1904544682","25615.143122341","25888.2395199309","24758.8003181681","24721.1451278059","","",
